City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
198,middelburg,-25.7751,29.4648,20.12,61,83,2.97,ZA,1734405033
199,rimouski,48.4488,-68.524,-0.62,72,100,4.16,CA,1734405136
200,mvurwi,-17.0333,30.85,17.78,91,95,3.3,ZW,1734405138
201,utrik,11.2278,169.8474,27.44,85,94,10.82,MH,1734405139
202,midvagur,62.0511,-7.1939,5.46,81,75,4.12,FO,1734405140
203,polyarnyy,69.1989,33.4478,-14.04,88,100,3.87,RU,1734405141
204,ilha de mocambique,-15.0342,40.7358,25.67,89,95,3.49,MZ,1734405142
205,vilyuchinsk,52.9306,158.4028,-0.85,77,100,4.33,RU,1734405143
206,aykhal,66.0,111.5,-12.7,92,100,8.98,RU,1734405145
207,vorgashor,67.5833,63.95,-29.53,100,83,2.2,RU,1734405146
208,bamboo flat,11.7,92.7167,29.05,79,40,3.09,IN,1734405147
209,coquimbo,-29.9533,-71.3436,14.85,82,0,0.51,CL,1734405148
210,olonkinbyen,70.9221,-8.7187,-2.42,69,62,3.93,SJ,1734405149
211,micheweni,-4.9667,39.8333,26.32,83,97,4.15,TZ,1734405151
212,embi,48.8264,58.1442,-4.33,90,100,7.24,KZ,1734405152
213,isafjordur,66.0755,-23.124,-5.02,87,100,3.18,IS,1734405153
214,maintirano,-18.0667,44.0167,27.65,76,53,2.04,MG,1734405154
215,arkalyk,50.2486,66.9114,-9.38,72,100,8.51,KZ,1734405155
216,buka,40.8108,69.1986,-4.46,43,0,1.56,UZ,1734405156
217,al jawf,29.5,38.75,8.64,27,100,2.48,SA,1734405157
218,guajara mirim,-10.7828,-65.3394,22.84,97,100,0.71,BR,1734405159
219,yaren,-0.5472,166.916,27.91,70,75,2.39,NR,1734405160
220,luwuk,-0.9516,122.7875,29.3,65,99,1.8,ID,1734405161
221,camana,-16.6228,-72.7111,19.52,94,100,2.96,PE,1734405162
222,finike,36.295,30.1406,10.84,55,26,2.88,TR,1734404998
223,selfoss,63.9331,-20.9971,1.14,80,100,1.49,IS,1734405165
224,lebu,-37.6167,-73.65,13.61,92,85,3.55,CL,1734405166
225,anadyr,64.75,177.4833,-6.72,73,100,8.0,RU,1734405167
226,karsun,54.1994,46.9827,-2.76,95,100,6.17,RU,1734405168
227,igarka,67.4667,86.5833,-21.18,94,98,7.69,RU,1734405169
228,susuman,62.7833,148.1667,-28.01,100,92,1.16,RU,1734405170
229,itoman,26.1247,127.6694,21.43,52,0,5.14,JP,1734405172
230,kalianget,-7.05,113.9333,28.1,79,99,3.62,ID,1734405110
231,portel,-1.9356,-50.8211,25.89,79,98,2.02,BR,1734405174
232,puerto armuelles,8.2833,-82.8667,26.16,75,18,0.45,PA,1734405175
233,ola,59.5833,151.2833,-13.0,74,100,6.61,RU,1734405176
234,richards bay,-28.783,32.0377,21.12,92,99,0.96,ZA,1734405178
235,petawawa,45.9001,-77.3328,0.99,94,100,1.34,CA,1734405179
236,kingscliff,-28.2667,153.5667,29.41,84,75,5.14,AU,1734405180
237,cannonvale,-20.2833,148.7,30.66,67,41,4.27,AU,1734405181
238,mahina,-17.5065,-149.489,28.87,74,20,4.63,PF,1734405182
239,bagong sikat,12.3675,121.0617,26.73,70,85,4.46,PH,1734405183
